strain,bpTIC,ascr_total,anglas#3,anglas#7,ascr#1,ascr#10,ascr#11,ascr#12,ascr#15,ascr#18,ascr#22,ascr#3,ascr#5,ascr#7,ascr#8,ascr#81,ascr#9,bhas#10,bhas#11,bhas#12,bhas#16,bhas#18,bhas#22,bhas#26,bhos#10,bhos#18,bhos#22,glas#1,glas#3,icas#10,icas#3,icas#9,iglas#2,iglu#1,iglu#2,osas#10,osas#2,osas#9,oscr#1,oscr#10,oscr#11,oscr#12,oscr#14,oscr#18,oscr#19,oscr#21,oscr#3,oscr#7,oscr#9,uglas#11
BRC20067,32586799611,342858700,486226,222657,2.67E+07,7883540,1.34E+07,4630960,352199,4515060,147337,7.28E+07,1.79E+08,4292940,121635,3976730,5384880,211465,906687,609245,41321,686588,902291,223709,19081,429417,153328,5707,15264,122599,740603,1193860,140689,2139210,5202,197172,307214,113588,431781,594713,97780,1953310,7290,2974520,5450,83666,166849,202687,3401770,21880
CB4856 W1,10507381895,22549539,92344,20071,1813220,567903,423766,279561,3993860,126997,7762,2940430,4246830,273355,2927,112578,351808,1000,71324,28049,1000,9776,8453,1000,1000,2670,3624,2884,5499,1000,1000,49692,6905,6743070,3016,5454,33022,6638,2873,7807,2946,47584,38870,67166,4284,4684,5734,3186,130917,1000
CB4856 W5,9859282739,47389842,38566,20407,4449820,857609,1321520,685943,692239,293295,11570,8402080,1.63E+07,726629,78915,175373,691139,21477,207494,63853,2463,27547,30745,3020,21477,16591,12386,5730,5624,1000,53390,120297,14654,1.05E+07,1000,1000,54188,13195,23350,23577,16977,154818,3053,181486,4160,4287,4159,726629,362710,1000
CB4856 W7,13674242591,6214842,11767,1000,631290,83803,145665,88967,443927,23253,1000,955501,1710780,78987,1000,26981,109919,1000,15226,5829,1000,1000,1000,1000,1000,1000,1000,3100,1000,3148,1000,16484,1000,1754830,1000,1000,1000,1000,3317,2922,10489,10634,2719,14799,4912,1000,2776,6353,46464,1000
CB4856 W8,37106426537,462867334,852444,749022,5.40E+07,1.50E+07,1.39E+07,1.10E+07,615967,3603810,27486,9.28E+07,1.42E+08,3962770,130048,1.52E+07,1.16E+07,332648,2389350,767075,34219,562995,548445,148880,23417,162440,43085,168318,172944,349224,1284720,1.51E+07,44622,6.00E+07,5306,1770990,1417410,2528740,320611,268649,33040,1945180,9167,1534480,5896,52305,41753,283568,4218310,680400
CB4932,11725324022,78063142,13382,19153,4610300,803423,2080400,630079,227706,312235,6855,1.66E+07,3.19E+07,1433050,26665,865190,1129340,30831,269188,81113,2953,53343,56543,16009,30831,16571,4595,28879,342337,7124,90129,277730,39029,1.50E+07,1000,61112,86998,79164,16541,31659,3663,137247,2116,267661,3860,1000,3931,42693,248002,25312
CX11254,47826199391,290823683,80348,47507,2.32E+07,4787650,1.24E+07,2964640,473370,2012820,49244,2.83E+07,1.49E+08,2722810,106835,1937010,7374130,40564,662063,224137,5344,231096,350626,115602,40564,162156,86698,44427,341535,116206,320012,902478,4791,4.36E+07,4568,200445,555783,142038,301532,333378,123851,1218230,4914,2517600,5287,4909,110884,175551,2070550,1000
CX11264,13669796173,43020904,30735,10821,2739960,1331320,1453350,496183,195413,291843,3737,7103700,1.42E+07,200906,296748,410826,716078,9333,247046,57238,2677,24860,33382,3130,9333,4998,33382,5092,121942,5680,40642,91321,3126,1.21E+07,3423,14041,61909,16310,26715,18166,4072,103395,90474,165380,5008,3095,2677,20057,190880,1000
CX11271,29641339448,186541850,31052,15103,1.22E+07,2705580,5361790,1902060,324365,1114760,14971,2.85E+07,9.07E+07,1850570,1000,1602260,2607830,53407,388901,242467,10465,164016,196994,88849,17375,135018,76810,41471,398235,20765,153234,399731,199978,3.02E+07,3961,36419,548315,29001,134395,201754,19635,621751,3899,1622060,5726,5535,147552,93497,1299600,6693
CX11276,17034825981,58211996,5889,9974,2999410,619635,1609270,670965,683979,265086,4452,8288000,2.30E+07,1031180,1000,1018920,853564,31050,109259,53736,3679,55926,70653,20226,31050,32697,4392,1000,137047,1000,82958,154174,42073,1.52E+07,6060,6482,99577,9101,25504,36327,12806,177802,2313,252174,5457,1000,18230,36412,418235,4272
CX11285,10878723463,125527942,120494,45695,8150360,1687250,3747600,1313370,416300,729001,21780,2.49E+07,5.34E+07,4123180,56942,462379,1563950,69741,743598,232052,8175,128015,167291,55776,3360,86480,25806,36094,170224,40484,286873,542749,5878,1.95E+07,11182,216537,218765,178946,70055,84806,11101,343114,2068,689928,12053,7654,40924,57271,717241,1000
CX11292,9232487574,48849835,7583,1000,2260050,601142,1548550,443681,520633,271907,3646,7037060,2.30E+07,916669,88064,337845,754342,15246,104803,40302,1000,40519,40109,18248,15246,31329,4106,6159,89564,1000,88172,97084,8975,9560320,1000,3358,59574,1000,26514,41578,6557,134134,2089,293826,3006,1000,3233,16583,329329,1000
CX11314,13738234978,98661314,164746,39039,5188220,971362,2889180,740184,635198,615047,9267,1.38E+07,4.86E+07,925521,4533,926578,1131860,28363,177562,87467,1000,74252,87383,15787,4301,49126,14717,22323,323594,8382,93069,173499,50819,1.89E+07,1000,6068,187877,3359,62659,67229,3319,278660,3442,713162,5657,4844,33897,37653,445605,42304
CX11400,8714170033,71055800,36548,4798,7203970,860964,2227450,1012600,564054,454306,21771,8932890,3.26E+07,892181,5919,616891,825103,29394,259686,81489,3849,45349,40294,1000,29394,23381,4150,10577,3118,9969,99321,478109,28562,1.16E+07,2908,59348,99255,61788,44185,44147,3898,358523,3919,421862,3520,1000,8657,32005,628759,203039
DL226,12529759218,163254808,44183,27118,9442350,1243670,5205790,2058370,264582,807912,5115,2.90E+07,7.69E+07,2933990,21131,3629510,2231740,93230,428372,126691,6335,175428,148199,60137,93230,97873,36083,28595,341768,9958,482366,1835090,17333,2.24E+07,2631,175981,187900,132646,87651,60924,13493,418232,3147,626236,10810,4611,50122,68795,1251420,23360
DL238 W1,13868072571,80240246,27179,52164,3563500,548717,2539350,867783,196902,231757,5692,1.01E+07,3.66E+07,1369450,3049,565789,1689140,19327,213663,84825,3599,63576,82890,28256,19327,40355,6869,12957,170236,9567,92866,118970,1000,1.97E+07,2888,21335,212624,13853,39389,24558,11106,179978,2071,203600,3855,1000,8527,35872,549935,1000
DL238 W5,8476082998,14686146,3074,1000,714169,136287,449113,159579,245488,37060,1000,1589480,5962370,314660,36278,76293,252601,4015,71092,15892,1000,2912,13251,1000,4015,2912,13251,1000,13030,1000,10570,18792,2407,4341730,1000,1000,18063,1000,5716,2937,2164,35039,1345,28609,2811,2794,2455,2954,90938,1000
DL238 W6,11706986342,64445785,39916,42219,3485210,802951,2236090,766696,729928,177273,5719,8805370,2.58E+07,2172900,2662,508997,1429150,21935,300323,85531,1000,50293,60480,24169,21935,26684,3753,12207,125802,13225,71784,159733,1000,1.55E+07,3582,56639,119309,22505,17230,4889,2593,143684,2747,100470,5655,3443,9040,28780,481684,1000
DL238 W7,23441398118,12725567,1000,1000,639111,66025,370738,116214,323566,18370,1000,1398060,4868680,208911,1000,49205,387264,1000,24472,8761,3563,4126,4792,1000,1000,4126,1000,1000,16119,1000,6658,4973,1000,3723550,1000,1000,1000,1000,3311,7008,4912,20936,7816,29970,5024,4506,3703,3833,387264,1000
DL238 W8,44806368431,223631107,333219,338059,1.02E+07,4.36E+07,6544430,3640130,285578,3018380,38262,4.70E+07,8.36E+07,2454280,32221,7109420,3592430,222084,393863,147017,6975,377491,380785,72723,19416,159670,45408,1000,1000,538325,393121,1972630,71241,1955790,3863,379450,92356,215275,140077,627773,37282,448610,8657,1308360,8496,6943,171337,167777,1359550,46553
ECA36,26265406699,274463130,222906,400044,1.21E+07,3661270,1.09E+07,4071460,494398,2167420,44386,4.77E+07,1.24E+08,4198750,98516,1.16E+07,3230260,177550,727884,271062,9619,457308,703366,283734,13198,332774,132917,75120,311698,12405,1000,1000,1000,3.86E+07,1000,707031,1201870,438899,217962,142957,35425,864632,7745,1358810,9986,6340,151744,158894,1716790,1000
ED3005,14724730746,111110951,67906,26966,6409230,1321310,2776320,963518,232740,813461,2639,2.46E+07,4.73E+07,1734010,972288,655840,1168470,38163,241941,126303,2733,97274,113617,48536,3197,62028,30005,23768,546477,1000,141577,169225,8459,1.81E+07,2845,7653,171714,9005,69373,107685,8249,288792,2985,946360,3469,9535,37715,33016,650054,1000
ED3011,12808225958,58712117,277495,46977,3853460,578086,1516450,490705,195062,328888,5959,1.06E+07,2.68E+07,1074490,1000,1138050,447687,12399,184644,54463,6726,41572,49534,13485,2663,38625,17333,15154,164982,21615,161108,236494,69202,9208150,2828,46912,31241,28145,37002,39558,13657,151590,2553,403236,5601,4014,3343,18134,232745,1000
ED3012,46674620493,468832074,261144,153197,2.72E+07,7056570,1.33E+07,4400460,1058510,3447380,20822,1.02E+08,2.27E+08,2803630,2760730,5443310,4239580,145102,1636030,806402,46837,646693,809036,307104,16519,305571,163732,139932,1295460,41293,711821,1291460,144671,4.59E+07,7058,276309,1526100,165515,324717,330031,28299,1373930,8082,2659240,8306,3780,376235,2803630,2696860,540386
ED3017,9814309071,64777502,12015,8606,3491020,746665,1926580,572681,231918,210963,4162,8885600,2.88E+07,1312290,2576,1261440,1234040,2974,254330,51373,1000,39463,36233,1000,2974,7397,36233,22185,234256,9408,109700,255335,71308,1.40E+07,2456,67022,135306,51665,23818,23133,6896,131252,2415,190905,3426,1000,6274,23122,251374,40513
ED3046,10091099565,29198870,8443,1000,1781460,294299,771133,220809,219010,90571,1000,4687500,1.32E+07,465744,1000,146812,311117,11029,50737,20187,1000,15966,29817,10636,11029,19942,3396,5719,94600,1000,33197,47641,8641,6223740,1000,4818,13004,4853,27443,3823,2524,58976,2382,81399,7723,3617,6673,11281,175379,1000
ED3048,16803350960,383068765,34524,51175,2.52E+07,6340560,1.35E+07,3698280,614126,2637770,45466,5.94E+07,1.91E+08,7555930,755359,5141480,6216280,224121,1109850,353381,12938,495100,511909,182205,224121,417799,155822,62247,591059,100884,743003,2555920,26603,4.30E+07,2974,309559,801508,140824,314748,461468,71676,1689070,4083,3368500,3715,43779,171555,176101,2716440,51153
ED3049,8260382413,20157168,16288,3920,1191070,173690,504032,173594,238213,69851,2906,3806040,7962060,419866,59880,79605,251073,3630,58151,19333,1000,14675,14391,3041,3630,6294,3007,1000,68478,1000,39886,35191,1000,4658860,1000,4429,10397,4358,3487,2343,4955,39678,2020,71102,4478,1000,3349,14264,111653,1000
ED3052,22682023856,205479250,290661,196975,1.59E+07,5284230,5632300,3827370,731489,2710320,8861,6.88E+07,4.31E+07,6230250,455580,5009450,4839770,168427,448678,262843,11586,454113,556413,47713,168427,50792,14200,65279,762808,186788,616519,2751340,38713,2.90E+07,3511,2380740,354269,2135240,37559,60183,109056,299424,4461,514513,16439,23005,94266,166853,794436,1000
ED3073,9029110491,9141950,2609,1000,597660,197883,237443,122252,171297,31875,1000,1584760,3238230,49678,26945,59166,113411,5300,37153,5499,1000,1000,5029,1000,5300,1000,5029,2342,19025,1000,1000,4019,2455,2460240,1000,1000,1000,1000,2114,2495,1949,17719,2247,23175,3406,1000,7131,49678,47436,1000
ED3077,11061195880,28813592,4036,3322,1199640,273025,877367,282918,233282,128918,3518,3426350,1.34E+07,481538,1000,246763,386013,3385,55239,23685,1000,12799,34322,6970,3385,12133,34322,1000,65926,1000,14977,37211,1000,7012840,1000,1000,15375,1000,15965,15113,2955,92293,2306,172697,4359,1000,14991,9435,184819,1000
EG4347,10952783375,17384702,21099,3575,1012300,241575,495738,179897,736579,95562,1000,2251830,7122840,373425,2433,167229,281407,3654,41490,12265,1000,8103,17568,4344,3654,7800,3544,1000,28748,1000,4809,15141,1000,3998860,2595,1000,7577,1000,5638,5681,3415,37638,2646,78505,1000,1000,5617,3376,96545,1000
EG4349,8067453967,17597141,1000,1000,868643,223108,418417,165499,223431,59503,3108,2272390,7387620,206869,39633,159559,345227,1000,83638,22220,1000,10936,7373,1000,1951,10936,4453,1979,52705,1000,16973,17573,1000,4521740,1000,1000,5584,2666,13097,2422,2458,36133,2582,53553,2767,1000,2302,2866,345227,1000
EG4725,13103837421,124932561,160465,70980,7128700,1274090,4044350,1208440,278638,806604,4375,2.19E+07,5.51E+07,2571690,49913,1982120,1558390,55042,258304,113113,1000,134961,136102,39973,55042,55876,24352,31104,465202,1000,1000,17882,57764,2.26E+07,2942,41070,484363,29197,113629,103142,3526,391753,92683,704103,4141,3842,35684,57469,545762,98583
GXW1,25047602341,193734644,140099,95227,1.50E+07,1595200,6145200,2619350,560024,1175590,13247,3.78E+07,8.38E+07,3483580,7074,2319010,2441390,72869,611668,331296,4424,281768,282485,127026,72869,165684,45842,65704,800171,27753,249385,456427,54659,2.85E+07,4796,68901,502585,45804,138507,108085,22845,607530,5977,901429,5148,33337,135045,81600,1669420,5414
JT11398,15431887158,364710177,83644,64045,2.96E+07,5724460,1.33E+07,4404630,442866,2196630,31690,6.67E+07,1.69E+08,7825630,93673,4549930,6510430,228455,1170730,339133,17492,416332,399071,169499,26746,352227,132302,102495,1487470,83682,1012040,2687030,213471,3.59E+07,3530,123325,1145500,72605,283661,266380,10770,1542890,1953,2646180,6381,8710,165315,178107,2817440,168327
JU1172,7864362047,12450006,3136,3226,655662,134251,319664,107286,171011,56781,1000,1844430,5069190,198506,54160,94329,159589,1000,42525,10827,1000,9364,2689,1000,1000,2348,2809,1000,32826,1000,9972,15169,1000,3272070,1000,3116,1000,1000,5980,4627,4165,24497,2409,56674,3709,1000,2781,6941,63287,1000
JU1200,16160070261,132698731,83165,59705,7995720,1605130,3827600,1303570,665071,713613,6124,2.38E+07,5.86E+07,2306620,3329,2826660,1667200,51265,480094,158527,8203,94158,114761,29079,51265,52955,5194,34951,382357,19611,174561,642760,25453,2.24E+07,1000,164134,250074,112328,81878,96639,7183,358909,3809,741444,4087,5340,49171,37366,562080,4988
JU1242,9409913049,2641316,1000,1000,98575,131621,36698,38766,262175,7915,1000,314968,477503,56341,1000,24217,50861,1000,7070,8586,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3756,1000,558396,1000,13832,1000,3939,2980,131621,2602,3178,2714,3802,4319,3832,314968,56341,19740,1000
JU1246,11195511654,65187461,79091,23820,5361270,660997,1706030,755773,576240,241335,13922,9249050,2.81E+07,1420170,32285,843357,875329,25252,315849,111761,3804,42721,77050,25406,25252,31899,3786,26936,119428,8207,81449,143075,1000,1.30E+07,1000,52185,96663,36987,28698,26816,3790,184043,2617,235495,3623,1000,4474,19739,465287,1000
JU1395,11389697378,66679313,59044,24242,3796200,1000530,2064050,660072,273015,329880,3579,1.03E+07,2.89E+07,1949540,17664,840606,1057150,17570,280054,72724,7556,55559,60022,22004,17570,48010,10880,22224,166796,3644,77747,164937,12634,1.32E+07,1000,30719,80709,28421,29956,34866,5936,172685,2283,316586,3732,4580,15857,12729,410251,1000
JU1400,21248835790,29859151,1000,1000,11127,4427,8282,3863,323647,6114,58893,4453,92456,7191,8509,1000,3369,1000,4314,5552,1000,3700,32148,4033,1000,3700,32148,3567,1000,1000,1000,19627,1000,2.87E+07,6076,1000,185847,1000,15524,19672,6757,3856,2744,38736,226353,8622,12733,7242,3369,1000
JU1409,12197259088,45593963,73716,33003,3012790,472914,1374860,637162,515583,248913,1000,7088020,1.74E+07,1645210,82250,798655,820571,21011,158186,61427,3101,38535,55081,16822,21011,11422,6272,32187,143464,4665,133066,227776,3301,9601180,4102,22049,118956,28419,19449,18273,4761,133702,36720,185255,4177,1000,5030,29472,252344,1000
JU1516,14250550172,258176537,42689,38922,1.51E+07,1870880,7172280,2800540,291221,925746,9602,3.98E+07,1.31E+08,6330890,53370,3781800,3361230,92980,1025730,229777,5576,266085,287857,93389,92980,153602,42912,46219,165719,44354,416665,1180580,207404,3.51E+07,5138,539545,520269,549786,106301,112479,50333,860056,2997,988976,5146,26645,28577,93635,1801510,51945
JU1530,9465387613,53750646,2959,3666,3780990,435699,1615050,523355,600066,190799,4320,5471050,2.68E+07,796531,23848,780294,706355,14112,186412,33930,1000,45936,48978,9688,14112,22607,14151,18314,81820,6133,97146,213819,39514,1.02E+07,1000,52765,55542,14434,29909,9447,2473,159279,22670,186130,3304,1000,6316,15360,332772,52491
JU1568,13652106268,20782559,1000,1000,1253640,294827,525804,204589,229573,139655,1000,4075470,6694830,197756,161077,127994,300212,2855,45673,26791,1000,17731,13752,1000,2855,17731,13752,3398,75969,1000,21739,48903,1000,5830730,1000,1000,1000,1000,3391,7456,5839,46540,4383,94962,4283,1000,9529,197756,81114,1000
JU1580,32828989107,26474435,1000,1000,1275800,267960,567226,198301,614652,116308,1000,4517000,9795960,206601,1000,518732,294492,1000,65274,21774,1000,10489,5259,1000,1000,10489,5259,3914,77029,1000,4984,45505,1000,7464050,1000,21139,24707,9566,17311,13430,12486,49700,17036,97868,4420,6360,8534,14073,90747,1000
JU1581,10767109513,96518594,11962,1000,4921490,1115600,2828000,893539,380296,258824,4676,1.06E+07,4.92E+07,2300850,74446,913028,1358740,25232,435516,73746,1000,61220,81702,17546,25232,50147,10777,14026,40444,1000,87756,266912,34567,1.85E+07,1000,178593,157921,165168,49872,32131,6181,285360,6146,274314,8558,1000,8206,36538,750032,1000
JU1586,9994691845,20458342,6580,4220,1110060,239079,489322,173652,269975,62430,4170,3800170,6929190,585165,1000,263358,285482,4243,59341,31690,2775,9428,7024,1000,4243,9428,7024,1000,34187,1000,4282,56032,1000,5765930,1000,15444,1000,16145,13743,3666,2331,39825,2120,42509,4341,1000,3337,10274,83812,2315
JU1652,14993655108,122191276,18550,15952,5800230,1569310,3417860,1098890,577291,683840,16858,3.00E+07,5.05E+07,2913130,330697,657070,1403010,41779,312029,139792,1000,79055,62239,11763,3844,19844,10893,9865,313956,7032,109941,196193,24781,1.99E+07,1000,47796,151388,44435,77300,92880,17993,317771,1854,581034,4235,1000,27049,55073,548357,3117
JU1896,16125820350,59772428,94909,55054,2744430,714467,2014270,455216,268564,179092,6500,1.00E+07,2.73E+07,706686,343526,362971,947948,4119,196398,54427,1000,56283,64110,20934,4119,34022,5219,17834,124755,7260,62131,99918,3503,1.21E+07,1000,1000,66781,3471,20905,10264,3938,102178,2041,132295,8672,4472,9734,29832,313680,1000
JU2001,29098918867,269882432,753258,538090,2.75E+07,9552300,1.08E+07,4640170,256462,4615500,13982,5.44E+07,1.23E+08,4400710,75591,6842610,5134680,206831,888471,326662,44233,475571,561383,211962,24569,242537,36014,9733,1000,403940,1502710,2020660,251631,2953720,6252,562868,321260,255582,321547,417298,49089,1078900,7043,2336440,5050,6190,131223,171780,1905030,1000
JU2007,7805385481,16177239,1000,1000,917323,243820,423631,143419,448249,83095,1000,1993740,6978430,288381,99586,77098,242493,5484,66597,11344,1000,7021,3503,3892,5484,3369,3503,1000,21214,1000,6405,10118,1000,3838870,1000,1000,1000,4296,2179,3099,4972,38939,21870,74126,3757,1000,2446,1887,93599,1000
JU2316,30777929621,464704458,314990,280638,3.32E+07,7607510,1.79E+07,4697030,504007,2959000,83382,1.22E+08,2.30E+08,5622160,460498,5483790,5472740,230432,1641020,418716,10633,554166,467150,82323,38784,208932,29715,7602,28465,204848,2184080,6156910,285621,6436060,8802,1022450,384012,657306,265966,310198,96175,1693870,3420,1755200,253986,8212,180729,266028,1891680,120522
JU2464,29171000136,350952371,313646,480990,3.05E+07,1.69E+07,1.49E+07,8730150,389506,4353820,110486,9.25E+07,1.35E+08,8957300,61343,7069630,9619490,316874,738709,266705,9376,720841,774697,246062,11203,334801,72972,4945,18959,357050,1769590,3312510,125773,3281190,1000,749943,190880,425572,278640,310955,122432,1158480,6621,2201160,5737,5408,180846,276554,3078080,33045
JU2466,35132741076,170472240,341265,191088,1.67E+07,9017980,7262680,2498600,313569,2174890,9297,3.30E+07,8.13E+07,2487390,22868,2470020,3685180,44826,789455,261087,23733,217794,295906,118653,8613,124605,43580,62213,8986,75565,303825,515071,36239,1634740,1000,294019,62127,96548,106327,204652,38121,674734,9388,1319590,4400,13819,82101,119966,1345330,1000
JU258 W1,10360597717,25321683,19637,1000,1057120,153676,276449,198689,1.41E+07,91412,4067,3319510,1726920,332137,6542,104761,235291,1000,17804,10240,1000,13075,4322,1000,1000,2962,3581,2965,63791,1000,17087,12848,2624,3146990,1000,1000,10477,1000,4276,153676,3273,10049,3404,91412,4443,3832,2597,12185,57259,1000
JU258 W5,12398323204,50497886,57058,17287,4823340,672232,1437330,839403,174353,389808,24733,1.61E+07,8622780,1388980,148100,353705,927308,47029,100906,55432,1000,63092,86386,16186,2468,11688,86386,3636,178994,1000,91041,109553,4578,1.32E+07,1000,3307,47310,5431,16783,6655,2418,84405,2717,52386,3600,3225,3550,38530,172277,1000
