feature,carbons
ascr#3,9
ascr#18,11
ascr#22,13
ascr#1,7
ascr#12,6
ascr#10,9
ascr#9,5
ascr#15,10
ascr#7,7
ascr#11,4
bhas#10,9
bhas#18,11
bhas#22,13
bhas#16,10
bhos#11,4
bhas#26,15
bhas#12,6
ascr#5,3
oscr#1,7
oscr#18,11
oscr#12,6
oscr#10,9
oscr#11,4
oscr#9,5
oscr#19,12
oscr#14,8
oscr#21,13
bhos#10,9
bhos#18,11
bhos#22,13
icas#3,9
icas#9,5
icas#10,9
osas#9,5
osas#10,9
osas#2,6
iglas#2,7
glas#1,7
glas#3,9
anglas#3,9
anglas#7,7
ascr#8,7
ascr#81,7
uglas#11,7